Date;Percipitation (in)
01/01/20;0.00
02/01/20;0.00
03/01/20;0.01
04/01/20;0.00
05/01/20;0.01
06/01/20;0.03
07/01/20;0.00
08/01/20;0.00
09/01/20;0.00
10/01/20;0.00
11/01/20;0.00
12/01/20;0.02
13/01/20;0.02
14/01/20;0.00
15/01/20;0.02
16/01/20;0.04
17/01/20;0.01
18/01/20;0.00
19/01/20;0.31
20/01/20;0.00
21/01/20;0.00
22/01/20;0.00
23/01/20;0.00
24/01/20;0.00
25/01/20;0.00
26/01/20;0.88
27/01/20;0.00
28/01/20;0.00
29/01/20;0.00
30/01/20;0.00
31/01/20;0.00
01/02/20;0.02
02/02/20;0.02
03/02/20;0.07
04/02/20;0.00
05/02/20;0.02
06/02/20;0.52
07/02/20;0.24
08/02/20;0.14
09/02/20;0.00
10/02/20;0.03
11/02/20;0.48
12/02/20;0.13
13/02/20;0.33
14/02/20;0.13
15/02/20;0.00
16/02/20;0.00
17/02/20;0.00
18/02/20;0.00
19/02/20;0.00
20/02/20;0.00
21/02/20;0.00
22/02/20;0.00
23/02/20;0.00
24/02/20;0.00
25/02/20;0.00
26/02/20;0.16
27/02/20;0.33
28/02/20;0.00
29/02/20;0.00
01/03/20;0.00
02/03/20;0.00
03/03/20;0.00
04/03/20;0.24
05/03/20;0.00
06/03/20;0.00
07/03/20;0.36
08/03/20;0.00
09/03/20;0.00
10/03/20;0.00
11/03/20;0.00
12/03/20;0.00
13/03/20;0.14
14/03/20;0.16
15/03/20;0.00
16/03/20;0.00
17/03/20;0.11
18/03/20;0.11
19/03/20;1.11
20/03/20;0.01
21/03/20;0.00
22/03/20;0.00
23/03/20;0.01
24/03/20;1.12
25/03/20;0.00
26/03/20;0.01
27/03/20;0.00
28/03/20;0.00
29/03/20;0.23
30/03/20;0.01
31/03/20;0.14
01/04/20;0.00
02/04/20;0.00
03/04/20;0.01
04/04/20;0.04
05/04/20;0.00
06/04/20;0.06
07/04/20;0.00
08/04/20;0.22
09/04/20;0.00
10/04/20;0.06
11/04/20;0.00
12/04/20;0.00
13/04/20;0.69
14/04/20;1.00
15/04/20;0.00
16/04/20;0.00
17/04/20;0.00
18/04/20;0.16
19/04/20;0.07
20/04/20;0.00
21/04/20;0.00
22/04/20;0.17
23/04/20;0.00
24/04/20;0.48
25/04/20;0.25
26/04/20;0.00
27/04/20;0.11
28/04/20;0.00
29/04/20;0.00
30/04/20;0.06
01/05/20;0.48
02/05/20;0.06
03/05/20;0.00
04/05/20;0.00
05/05/20;0.00
06/05/20;0.00
07/05/20;0.15
08/05/20;0.00
09/05/20;0.43
10/05/20;0.00
11/05/20;0.00
12/05/20;0.04
13/05/20;0.00
14/05/20;0.00
15/05/20;0.02
16/05/20;0.00
17/05/20;0.00
18/05/20;0.00
19/05/20;0.00
20/05/20;0.00
21/05/20;0.00
22/05/20;0.00
23/05/20;0.03
24/05/20;0.79
25/05/20;0.00
26/05/20;0.00
27/05/20;0.00
28/05/20;0.00
29/05/20;0.00
30/05/20;0.03
31/05/20;0.00
01/06/20;0.00
02/06/20;0.00
03/06/20;0.63
04/06/20;0.31
05/06/20;0.18
06/06/20;0.14
07/06/20;0.00
08/06/20;0.00
09/06/20;0.00
10/06/20;0.00
11/06/20;0.01
12/06/20;0.07
13/06/20;0.00
14/06/20;0.00
15/06/20;0.00
16/06/20;0.00
17/06/20;0.00
18/06/20;0.00
19/06/20;0.01
20/06/20;0.00
21/06/20;0.00
22/06/20;0.00
23/06/20;0.00
24/06/20;0.00
25/06/20;0.00
26/06/20;0.00
27/06/20;0.00
28/06/20;0.10
29/06/20;0.00
30/06/20;0.00
;
